Year,Summary,January,February,March,April,May,June,July,August,September,October,November,December
2009,5786,181,422,830,639,612,209,241,110,330,102,1960,150
2010,11094,990,234,509,1106,803,886,426,1252,707,1336,1026,1819
2011,9263,702,925,583,2252,818,682,430,390,423,470,737,851
2012,23235,1148,1003,1622,2501,3228,2259,3124,2887,1583,1830,1110,940
2013,15671,1460,1105,1138,1271,932,989,1623,1359,1140,1941,1327,1386
2014,16714,1552,1151,1644,2103,2175,1447,1606,886,885,260,1380,1625
2015,6503,758,654,849,838,429,736,446,564,81,216,144,788
2016,11081,2450,535,871,699,733,1474,321,762,979,455,696,1106
2017,18670,746,888,1072,1936,1499,1216,1366,1890,1517,1596,2587,2357
2018,56530,2276,2405,1578,2525,10491,5163,3707,3896,3723,10862,6567,3337
2019,272334,6810,7197,10466,12979,13181,32839,45459,23766,47202,26717,22731,22987
2020,172046,15960,18668,20159,16310,14517,11250,10659,14460,13077,10921,9293,16772
2021,180224,11253,14969,18562,15478,14039,18799,20804,16561,14086,16348,17268,2057
